observation_date,NAEXKP01CAQ661S
2007-04-01,98.9631470817894
2007-07-01,99.3743535589518
2007-10-01,99.5135398443541
2008-01-01,99.5725352061740
2008-04-01,99.9180165734198
2008-07-01,100.7514990199410
2008-10-01,99.5862462817356
2009-01-01,97.3108366869387
2009-04-01,96.2370959438802
2009-07-01,96.6725798300644
2009-10-01,97.8145614767206
2010-01-01,98.9798771097682
2010-04-01,99.4888221714381
2010-07-01,100.1992823069580
2010-10-01,101.3320184118360
2011-01-01,102.0812217700430
2011-04-01,102.2751265680080
2011-07-01,103.6946002576800
2011-10-01,104.5139313647460
2012-01-01,104.5472656310190
2012-04-01,104.8923696292130
2012-07-01,105.0992307646350
2012-10-01,105.2274104526820
2013-01-01,106.3117804240430
2013-04-01,107.0009821029580
2013-07-01,107.8777362007930
2013-10-01,108.9650622297290
